Gene	VHL	ZNF512B	PBRM1	EPAS1	HIF1A	MDFI	APC	TCEB1	TCEB2	SQSTM1	FBXW11	SH3BP5	CUL2	VEGFA	ARNT	TP53	DST	DDX41	PIK3CA	ESR2	KDR	SYNE1	MTOR	SIAH1	SPTBN1	MLH1	SMAD3	SMAD9	SMAD1	MGAT1	RBX1	ABL1	UIMC1	BPTF	CRK	GABARAPL2	HSP90AA1	MACF1	DISC1	TGFBR1	SMAD4	SKIL	MAPK6	SMAD2	SLU7	GOLGA2	RUFY1	TNIK	FYN	ATN1	PDZD2
TCGA-CW-6087-01																	1																																		
TCGA-B0-5707-01																	1																																		
TCGA-CZ-5459-01																	1																																		
TCGA-BP-5182-01																	1																																		
TCGA-CJ-5681-01																	1																																		
TCGA-B0-4693-01																			1							1																									
TCGA-BP-4352-01																			1																			1								1					
TCGA-BP-4160-01																			1																																
TCGA-BP-5010-01																					1																														
TCGA-BP-4761-01																					1																														
TCGA-B0-5701-01																						1	1											1																	
TCGA-CZ-4857-01																						1	1																												
TCGA-B4-5835-01																						1												1																	
TCGA-B0-4844-01																						1																													
TCGA-BP-4174-01																						1																													
TCGA-CJ-4895-01																						1																													
TCGA-B0-5100-01																							1																												
TCGA-B0-4846-01																							1																												
TCGA-AK-3429-01																							1																												
TCGA-CZ-4866-01																							1																												
TCGA-CJ-4907-01																							1																												
TCGA-B0-5697-01																							1																												
TCGA-B0-5119-01																							1																												
TCGA-CJ-4869-01																									1																										
TCGA-BP-4165-01																										1																									
TCGA-CJ-4881-01																																		1											1						
TCGA-A3-3319-01																																		1																1	
TCGA-BP-4797-01																																						1													
TCGA-BP-4768-01																																									1										
TCGA-B2-4098-01																																										1									
TCGA-B0-5109-01																																													1						
TCGA-CZ-4859-01																																																1			
TCGA-B0-5083-01																																																	1		
TCGA-AK-3427-01																																																		1	1
TCGA-AK-3465-01																																																		1	
TCGA-B0-4694-01																																																			
TCGA-B0-5702-01																																																			
TCGA-CJ-4870-01																																																			
TCGA-A3-3363-01																																																			
TCGA-BP-4804-01																																																			
TCGA-B0-4691-01																																																			
TCGA-AK-3461-01																																																			
TCGA-B0-4836-01																																																			
TCGA-BP-4756-01																																																			
TCGA-BP-4766-01																																																			
TCGA-BP-4177-01																																																			
TCGA-B2-5633-01																																																			
TCGA-CZ-5988-01																																																			
TCGA-CJ-5671-01																																																			
TCGA-BP-4760-01																																																			
TCGA-AK-3443-01																																																			
TCGA-CJ-4643-01																																																			
TCGA-B0-4817-01																																																			
TCGA-DV-5565-01																																																			
TCGA-CJ-5683-01																																																			
TCGA-B8-A8YJ-01																																																			
TCGA-B8-4143-01																																																			
TCGA-CJ-4640-01																																																			
TCGA-BP-4347-01																																																			
TCGA-AK-3453-01																																																			
TCGA-B8-A54D-01																																																			
TCGA-BP-4972-01																																																			
TCGA-BP-4346-01																																																			
TCGA-B0-5098-01																																																			
TCGA-BP-5185-01																																																			
TCGA-B8-4619-01																																																			
TCGA-DV-5576-01																																																			
TCGA-BP-4787-01																																																			
TCGA-DV-5575-01																																																			
TCGA-A3-3358-01																																																			
TCGA-BP-4331-01																																																			
TCGA-CJ-4904-01																																																			
TCGA-B0-4838-01																																																			
TCGA-BP-4351-01																																																			
TCGA-BP-4799-01																																																			
TCGA-B0-4688-01																																																			
TCGA-BP-4343-01																																																			
TCGA-BP-4173-01																																																			
TCGA-CJ-4890-01																																																			
TCGA-CJ-4893-01																																																			
TCGA-CJ-4878-01																																																			
TCGA-A3-3336-01																																																			
TCGA-B8-4622-01																																																			
TCGA-AK-3456-01																																																			
TCGA-BP-4781-01																																																			
TCGA-BP-5000-01																																																			
TCGA-BP-4962-01																																																			
TCGA-CJ-4891-01																																																			
TCGA-BP-5178-01																																																			
TCGA-B0-5084-01																																																			
TCGA-CZ-5451-01																																																			
TCGA-BP-4994-01																																																			
TCGA-B0-4813-01																																																			
TCGA-B0-4837-01																																																			
TCGA-DV-5574-01																																																			
TCGA-B4-5838-01																																																			
TCGA-A3-3317-01																																																			
TCGA-BP-4345-01																																																			
TCGA-B0-4841-01																																																			
TCGA-B2-3923-01																																																			
TCGA-AK-3447-01																																																			
TCGA-B0-5080-01																																																			
TCGA-CW-6097-01																																																			
TCGA-CJ-4882-01																																																			
TCGA-BP-4971-01																																																			
TCGA-BP-4795-01																																																			
TCGA-BP-4983-01																																																			
TCGA-B0-4839-01																																																			
TCGA-CJ-4899-01																																																			
TCGA-B0-4696-01																																																			
TCGA-B0-4811-01																																																			
TCGA-CZ-4863-01																																																			
TCGA-B4-5834-01																																																			
TCGA-BP-4326-01																																																			
TCGA-BP-4169-01																																																			
TCGA-DV-5568-01																																									
