TCGA-CG-4437-01										1				1							1			1					1													1	1									1															1																																																				1							1														1																1																			1															1		1																																			1													1	1													1																																														1								1		1													1		1													1						1																						1																		1																																																																						1											1											1																		1						
TCGA-EQ-5647-01										1					1													1																																				1																																																																																																																								1																																																																																																																																																																																							1																																																																																																																				1																	
TCGA-CD-5802-01										1																																																						1																																																																																																																																																																																																																																																																														1																																	1														1																																																				1																																																		1																	1
TCGA-B7-A5TI-01										1																																																																	1																																																																																																																																																																												1																																																																																																																																																																																																																																																													
TCGA-VQ-A8PD-01										1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										
TCGA-D7-A4YU-01											1	1																			1				1						1																																	1																																													1																																																																																															1																																1																																																																							1																																															1																																																										1				1																																																								1																		
TCGA-MX-A5UG-01												1		1																																																																																																																																								1																																																																																																																																																																																																																																																																																																																											1																																	1		
TCGA-BR-A4QM-01												1									1														1						1																																																																																																																																																																																												1																																																																	1										1																																																									1																																		1																																																																																																									
TCGA-BR-8364-01												1												1					1																						1																							1																																																																																																																																																																																																																																																																																																																						1																																																																																																																				
TCGA-R5-A804-01												1																							1																																																																																																														1																																																																																																																																																																																																																																																																	1																				1														1																																																																
TCGA-D7-8574-01												1																							1																																																																																																																																				1																																																																																																																																																															1																																																											1	1																																																																																																																		
TCGA-BR-A4IV-01												1																							1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	
TCGA-D7-8572-01												1																																					1																															1																																																																																																																				1																							1		1																																																																																																						1																																																														1																						1																										1																																																																			
TCGA-BR-8058-01												1																																											1																																																				1																																																																																																																																																																																																																																																																																																																																																																																																									
TCGA-D7-A748-01												1																																																																			1																																																																																																																																																																																																																																																																																																												1																																																																																																																									
TCGA-BR-A453-01												1																																																																																																											1																										1												1																																																													1																																																																																																																																																																																																																																																																																		1								
TCGA-BR-8592-01												1																																																																																																																																																																																					1																																																																																																																																																																																																																											1																																																																																								
TCGA-BR-A44T-01												1																																																																																																																																																																																																																																																																																																																																																																			1																																																																																																																													1								
TCGA-FP-8210-01												1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
TCGA-CG-5725-01													1																	1												1																																																																																					1																									1																																																																																				1																																																																																																										1		1										1																																																																																																																															1																			
TCGA-VQ-A8P3-01														1															1							1													1				1														1							1		1																									1																											1																																						1																				1						1																									1																																																																																									1																																																															1			1											1											1				1																				1																																												1									1																		1											
TCGA-CG-5723-01														1																																																																																																																																																																																																																																																																																																																																																				1																																																																																																																																																		
TCGA-HJ-7597-01														1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
TCGA-VQ-AA6J-01																1									1																														1																																										1																																																																																																		1	1																																																																																																																																		1																																						1																										1										1																	1																																																																																	1		
TCGA-HU-8602-01																1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
TCGA-CG-5717-01																		1																								1																																			1																																																																																																																																																																																																																																																																											1						1																																																							1																																																																																							1								
TCGA-D7-A74A-01																		1																								1																																																																	1																																																					1					1																																																																																																																																																																																			1																																				1																																												1																																																											1																	
TCGA-D7-6519-01																					1																																															1																																																																								1																																																																																																																																																																									1																																																										1																																																																																																																				1																	
TCGA-D7-A6EY-01																					1																																																																																																																																																																																																	1																																																																																																										1		1																																																																																																																																																																																		
TCGA-BR-7851-01																					1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
TCGA-IN-AB1V-01																						1	1										1																																																																																						1																																																																																																																																																																																																																																																					1			1																					1																					1																								1																																																						1													
TCGA-HU-A4H6-01																							1										1											1											1												1																						1																																																																																																																																	1																																																																																																																																																																																																																																																																																										
TCGA-VQ-AA6F-01																							1										1																1			1																							1																																																																	1																																																																																																											1																																																																																																																																																																															1																																																																														
TCGA-VQ-A91N-01																							1										1																1															1																																																																																																																																																																																																																																																																																																																																																																																																																																			1																	
TCGA-VQ-A94T-01																							1										1																																																																																																																																																																				1																																																																																																																																									1																																																																							1																																																																														1																	
TCGA-HU-A4GQ-01																								1					1																																																																																																																																																																																																																																																																																																																																																																			1																																																																																																																				
TCGA-BR-6705-01																										1																																																																											1																																																										1																																																																																																																																												1																																																							1										1				1				1																																																																																													1																		1																	1
TCGA-BR-4367-01																										1																																																																																																																																																																																																																																																																																																																																																																																																																																																																									1																	1
TCGA-BR-4294-01																											1																																																																																																																																																																																																																																																																																																																																																																																																																																																																							1																		
TCGA-RD-A8N5-01																														1																									1																																																			1																					1															1																										1																								1																																												1																																								1																																																																																																																																																																																																													1											1								
TCGA-EQ-A4SO-01																															1																																																										1																																																																														1																																																																						1																																																															1																																																										1																												1										1																																			1													1				1																									1										1																	
TCGA-RD-A7BW-01																																	1																															1																																																												1																					1																																																																																										1																																																																							1																						1																																							1																																																																																																																																					
TCGA-CG-5720-01																																			1														1																												1																																																																																																																																																																																										1																																																																																																																																																																																																							1										1																												
TCGA-IN-AB1X-01																																				1			1																																								1										1																											1																																																																													1																																																																																																																																																																																																																																						1										1																																																																			
TCGA-BR-8360-01																																						1																												1																	1																																																																																																												1																																			1																																																														1																																																																											1																																																																																																																																	1								
TCGA-VQ-A91Y-01																																						1																												1																	1																																																																																																												1																																			1																																																														1																																																																											1																																																																																																																																									
TCGA-BR-6453-01																																							1																																																																																											1																																																																																								1																																																																																																																																																																																									1																																																																																																	
TCGA-CD-8527-01																																									1																										1								1																																																																																																																																																																												1																																																																										1																																						1																																																									1	1																																																1			1															1																	
TCGA-CG-5734-01																																										1																																																																																																																																																																																																																																						1																																																																								1																																																											1									1																																																																																								
TCGA-BR-8680-01																																										1																																																																																																																																																																																																																																																																																																														1																																																																																																																																																												
TCGA-BR-4362-01																																										1																																																																																																																																																																																																																																																																																																														1																																																																																																																																																												
TCGA-CG-4455-01																																														1									1																				1																																																																																																																																																																												1																																																																																																																								1																																																																																																																																					
TCGA-CD-8532-01																																																	1						1																																																																																																																																													1																																																																																																																																																																																													1	1																																																																																																																		
TCGA-HU-A4G3-01																																																	1																																																																																																																																							1		1																																																																																																																																																																																																																																																										1																																			1																													
TCGA-BR-8367-01																																																	1																																																																																																																																																																																1																																																							1																																																	1																																																									1																																																																																																																		
TCGA-BR-8365-01																																																							1																	1																																		1																																																																							1																			1																																																																																																																																																																																																																																																																																																																
TCGA-HU-8610-01																																																							1																																		1																																																																																																											1																																																																																																																														1																																																																1																																																																																																																		
TCGA-BR-8687-01																																																							1																																					1								1																																																																														1																																																																																																																							1																				1																																					1													1																																						1																																																																														1																	
TCGA-VQ-A8PU-01																																																							1																																																																																																																																																																																																																																																																																																																																																																																																																																																													
TCGA-BR-4361-01																																																							1																																																																																																																																																																																																																																																																																																																																																																																																																																																													
TCGA-BR-8285-01																																																												1																																																																																																							1																																																																																																																																																																																																			1																																							1																																																																																																							
TCGA-VQ-A8PX-01																																																												1																																																																																																																																																																																																																																																																																																																																																																																																																																																								
TCGA-VQ-A8PO-01																																																														1																																																																																																																																								1																																																																																																																																																											1																																																																																																																																																			
TCGA-HF-7133-01																																																																1																																										1																																																				1																																																																			1																																																																																								1																																																																																																																																																																																											
TCGA-VQ-A94O-01																																																																1																																																																																																																																																						1																																																																																																						1				1		1																																																1																																																																																																																						1												
TCGA-MX-A663-01																																																																			1																																																					1																																																																									1			1																																																																														1																																																																																																																																																																																																									1																									
TCGA-D7-6522-01																																																																			1																																																																														1																																																																																																																																																																				1																																																																																																															1																																																																																
TCGA-CG-5733-01																																																																										1																1																																																																																																																																																																																																																																																																																																		1																																																																																																																								
TCGA-HU-A4GU-01																																																																											1																																																																																														1																																																																														1																																																																																																																																														1																																									1																																																	1																					
TCGA-CG-4472-01																																																																											1																																																																																																																																																																												1																																																																																																																																																																																																																																												1																	
TCGA-BR-8380-01																																																																													1																																																																																																																				1																																																																																																																																																																																																											1																																																																					1																																			
TCGA-RD-A7BS-01																																																																															1																														1																																																																																							1																																																																																																																																																																																											1																																		1																																																																		1																	
TCGA-BR-8677-01																																																																															1																																																																																																																																																																																																																																																																																																																																																																																																																																					
TCGA-HU-A4GJ-01																																																																																														1																																																																																																																																																																																																																																																																																																																																																																																																																						
TCGA-BR-8295-01																																																																																																					1																																																																																																																																																																																																										1																																																																											1																																																																																																																										
TCGA-CG-4475-01																																																																																																							1																																																																										1																																																																																																																																																																																																																																																																																																										1																									
TCGA-BR-7957-01																																																																																																										1																																																																																																																																																													1																																																		1															1																																																																																																																																																																												
TCGA-VQ-A91A-01																																																																																																													1																																																																																																				1																																																																																														1	1																																																																																																																																																																													1																							
TCGA-BR-8291-01																																																																																																																							1																																																																																																																																																																																																																																																																																																																																																																					1																								
TCGA-VQ-A8PH-01																																																																																																																														1																																																																																																																																																																																																					1																																																													1																																																																																																																				
TCGA-D7-A6ET-01																																																																																																																																																					1																																																																																																																																																																																																																																																																																																																										1																																					
TCGA-FP-8209-01																																																																																																																																																																																																				1																																																																																																																																																																																													1	1																																																																																																																		
TCGA-BR-A4J1-01																																																																																																																																																																																																																1																																																																																																																																																																																																											1																																																																								1																	1
TCGA-RD-A8N0-01																																																																																																																																																																																																																																																																						1																																																																																																																																																																																																																																														
TCGA-HU-A4HB-01																																																																																																																																																																																																																																																																										1																																																																																																																																																																																																																									1																	
TCGA-BR-8078-01																																																																																																																																																																																																																																																																																																																																																																																															1																																																																																																																					
TCGA-BR-8361-01																																																																																																																																																																																																																																																																																																																																																																																																1																																																																																																																				
