#VALUE = Log10 normalized expression of ORF																																
ORF	ORF_BNAME	P	A384	A744	A1224	A1824	A2496	B384	B744	B1224	B1824	B2496	C384	C744	C1224	C1824	C2496	D384	D744	D1224	D1824	D2496	E384	E744	E1224	E1824	E2496	F384	F744	F1224	F1824	F2496
cueO	b0123	2.319128	2.441633	2.497247	2.202166	2.439722	2.575222	2.246123	2.817174	2.385063	2.316071	2.342444	2.347605	2.324097	2.364231	2.3176	2.619561	2.299061	2.280141	2.393854	2.383916	2.523048	2.38277	2.403792	2.469918	2.373214	2.381623	2.395001	2.29199	2.3176	2.134702	2.3606
hpt	b0125	2.774937	2.856353	2.916745	2.850428	2.876802	2.758693	2.916745	2.865717	2.789271	2.735377	2.741493	2.859028	2.865717	2.907189	2.821952	2.831316	2.907189	2.941972	2.959172	2.928212	2.960701	2.863424	2.892473	2.919803	2.86285	2.90222	2.808383	2.738052	2.873935	2.831316	2.881006
can	b0126	3.162328	3.182777	3.265721	3.573033	3.427022	3.132705	3.197493	3.483401	3.506716	3.529459	3.634381	3.174368	3.281965	3.243169	3.192333	3.280054	3.197493	3.232849	3.23648	3.19023	3.119709	3.212017	3.289801	3.198448	3.281965	3.54666	3.168634	3.162328	3.243169	3.531753	3.485312
yadG	b0127	2.631028	2.655108	2.666958	2.564329	2.564902	2.53031	2.638099	2.626059	2.533559	2.474696	2.497247	2.605419	2.629881	2.599876	2.571782	2.59873	2.651668	2.662944	2.589747	2.535853	2.589747	2.622237	2.639819	2.61077	2.557831	2.514448	2.587454	2.566049	2.601405	2.526106	2.541777
yadH	b0128	2.266381	2.305942	2.330213	2.22682	2.193566	2.102978	2.267527	2.206753	2.046025	2.120942	2.114253	2.248225	2.304795	2.270776	2.126293	2.146743	2.300017	2.309764	2.247843	2.203504	2.228731	2.314924	2.327155	2.228731	2.167956	2.133365	2.212104	2.283008	2.260265	2.144258	2.242109
panD	b0131	2.744359	2.935665	2.926301	3.02052	2.981724	3.003702	2.885975	2.969684	3.059125	3.074797	3.114357	2.835712	3.000071	2.894384	2.876037	2.974462	2.937003	2.981724	3.060654	2.984591	2.891135	2.935665	3.043836	2.987648	3.08913	3.004658	2.801311	2.928212	2.974462	3.040778	2.973124
panC	b0133	2.89706	2.907189	2.892473	2.851383	2.905278	2.935665	2.928212	2.848517	2.871259	2.904514	2.847561	2.903367	2.917509	2.937003	2.85253	2.928785	2.872406	2.892473	2.932798	2.86457	2.85253	2.910629	2.882726	2.888077	2.903367	2.879477	2.911776	2.993764	2.90222	2.817556	2.857881
panB	b0134	3.302415	3.264574	3.222147	3.227115	3.350194	3.444986	3.253107	3.098304	3.170354	3.161181	3.232849	3.273556	3.294006	3.273556	3.246418	3.418804	3.257885	3.207813	3.220044	3.284832	3.235333	3.264574	3.257885	3.290375	3.309677	3.180292	3.262663	3.284832	3.281965	3.2382	3.240111
pcnB	b0143	2.850428	2.820232	2.782964	2.816027	2.78736	2.915789	2.816027	2.887313	2.914643	2.893811	2.910629	2.803222	2.77876	2.816027	2.865717	2.935665	2.845841	2.813352	2.889415	2.985164	2.961083	2.827494	2.82501	2.867819	2.928212	2.826539	2.813734	2.848517	2.879477	2.869157	2.865717
dksA	b0145	2.867819	2.745697	2.773982	2.789271	2.746461	2.744359	2.790609	2.683967	2.865717	2.769204	2.777231	2.749328	2.689891	2.700212	2.698683	2.757355	2.990706	2.800356	2.853295	2.735377	2.698109	2.85253	2.754297	2.804943	2.78736	2.755444	2.746461	2.738052	2.804178	2.755062	2.766528
sfsA	b0146	2.409908	2.32964	2.385063	2.393281	2.367863	2.290843	2.383916	2.312248	2.334609	2.310146	2.411437	2.356014	2.332506	2.416597	2.388312	2.318555	2.313586	2.358689	2.407806	2.345885	2.356014	2.271541	2.328875	2.413157	2.388312	2.417553	2.395192	2.316835	2.383916	2.398823	2.389459
