JUN,TP53,any
MYC,JUN,any
MYC,SMARCA2,any
>JUN,7.147642729002471
RB1,MYC,any
RB1,TP53,any
RB1,JUN,any
>JUN,7.322804404907492
JUN,TP53,any
MACF1,JUN,any
JUN,MYC,any
>JUN,7.183625613610385
JUN,TP53,any
JUN,MYC,any
TERT,JUN,any
>JUN,7.160833458055891
TP53,MYC,any
TP53,JUN,any
RNF144B,TP53,any
>DUSP5,7.110157373852774
TP53,MYC,any
DUSP5,TP53,any
TP53,RB1,any
>DUSP5,7.145633768499272
TP53,MYC,any
MYC,STK11,any
DUSP5,TP53,any
>DUSP5,7.065190723080711
TP53,MYC,any
TP53,MCL1,any
DUSP5,TP53,any
>DUSP5,7.192742204200805
TP53,MYC,any
MYC,TAF4B,any
DUSP5,TP53,any
>DUSP5,7.410751739538015
TP53,MYC,any
MYC,TERT,any
DUSP5,TP53,any
>HIF1A,7.0924569619821165
TP53,MYC,any
MCL1,TP53,any
MCL1,HIF1A,any
>HIF1A,7.076040061911591
HIF1A,TERT,any
MCL1,TP53,any
HIF1A,MCL1,any
>HIF1A,7.154927328674795
TP53,RB1,any
HIF1A,MCL1,any
HIF1A,TP53,any
>HIF1A,7.1662186957853065
TERT,HIF1A,any
TERT,MYC,any
HIF1A,TP53,any
>HIF1A,7.126316816061319
TP53,MYC,any
RB1,TP53,any
TP53,HIF1A,any
>CCNB1,7.479143577522455
CCNB1,MYC,any
MYC,TERT,any
CCNB1,TP53,any
>CCNB1,7.45831019880319
RNF144B,TP53,any
CCNB1,MYC,any
TP53,CCNB1,any
>CCNB1,7.416883467284402
MYC,CCNB1,any
TAF4B,MYC,any
CCNB1,TP53,any
>CCNB1,7.574790924417858
MYC,CCNB1,any
RB1,MYC,any
RB1,CCNE1,any
>CCNB1,7.487539363311713
MYC,CCNB1,any
CCNB1,TP53,any
BCAT1,MYC,any
>TAF9,7.479143577522455
MYC,TP53,any
TAF9,MYC,any
TAF9,TERT,any
>TAF9,7.45831019880319
TP53,MYC,any
MYC,TAF9,any
RNF144B,TP53,any
>TAF9,7.574790924417858
TAF9,MYC,any
MYC,RB1,any
RB1,CCNE1,any
>TAF9,7.487539363311713
MYC,TP53,any
TP53,TAF9,any
BCAT1,MYC,any
>TAF9,7.657359774971189
TP53,TAF9,any
CCNE1,RB1,any
RB1,TP53,any
>CDC42,6.861796044052365
TP53,MYC,any
CDC42,TP53,any
FARP2,CDC42,any
>CDC42,6.904927328674796
CDC42,TP53,any
TP53,RB1,any
PAK4,CDC42,any
>CDC42,6.93234956633435
CDC42,TP53,any
PAK4,CDC42,any
CDC42,MAPK11,any
>CDC42,6.873761427211028
TP53,BCL2L1,any
CDC42,TP53,any
MAPK11,CDC42,any
>CDC42,7.271759954841459
