PLK3,TP53,any
>PELI1,5.0606555105024595
TRIP13,COMT,any
TRIP13,PELI1,any
TRIP13,SELENBP1,any
>MCM10,5.86466657511897
CEP72,MCM10,any
MCM10,CDKN2A,any
MCM10,HOOK2,any
>MCM10,5.954400837783622
MCM10,CEP72,any
CDKN2A,MCM10,any
MCM10,MCM7,any
>MCM10,5.766254999302026
MCM10,CDKN2A,any
MCM10,CEP72,any
MCM10,CDKN1A,any
>MCM10,5.8698083898953
MCM10,CEP72,any
CDC7,CDKN2A,any
CDC7,MCM10,any
>MCM10,6.384660525139077
MCM10,CEP72,any
CDK6,CDKN2A,any
MCM10,CDK6,any
>SMAD2,4.385780402336301
COPS5,TP53,any
COPS5,SMAD2,any
COPS5,WNK1,any
>SMAD2,4.346252241512544
TP53,SKP2,any
TAF9,TP53,any
RPS14,TAF9,any
RPS14,SMAD2,any
>SMAD2,4.663246408078594
SMAD2,KAT2B,any
PSMD8,SMAD2,any
KAT2B,TP53,any
>SMAD2,4.882168947683786
TP53,SKP2,any
KAT2B,SMAD2,any
KAT2B,TP53,any
>SMAD2,4.3404956784107895
FOXA1,TP53,any
AP1B1,FOXA1,any
TP53,SKP2,any
AP1B1,SMAD2,any
>SNRPN,5.998615919025435
TP53,SKP2,any
SNRPN,TP53,any
SKP2,FOXM1,any
>SNRPN,5.781135481930308
TP53,BID,any
BID,FADD,any
SNRPN,TP53,any
>SNRPN,5.827005013248419
TP53,SKP2,any
TP53,UFD1L,any
SNRPN,TP53,any
>SNRPN,5.731181975363098
TP53,PTEN,any
TP53,EGFR,any
SNRPN,TP53,any
>SNRPN,5.7953513918864585
TP53,SKP2,any
SKP2,RB1,any
SNRPN,TP53,any
>KDR,4.715032058472303
HSP90AA1,RAD1,any
KDR,ARNT,any
KDR,HSP90AA1,any
FLT4,KDR,any
>KDR,4.9034936950343715
RAD1,DKC1,any
DKC1,HSP90AA1,any
HSP90AA1,KDR,any
>KDR,4.614156975486406
PTEN,TP53,any
PTEN,ANG,any
PTEN,PIK3CA,any
PIK3CA,KDR,any
>KDR,4.997127591830036
PTEN,TP53,any
PTEN,PIK3CA,any
PIK3CA,KDR,any
>KDR,4.732050807568878
SHC2,KDR,any
SHC2,EGFR,any
EGFR,TP53,any
>PDCD11,5.348130413061015
TP53,PTEN,any
PDCD11,S100A8,any
S100A8,TP53,any
>PDCD11,5.283163276504055
PDCD11,S100A8,any
TP53,EGFR,any
S100A8,TP53,any
>PDCD11,5.776458914923762
PDCD11,S100A8,any
TP53,SKP2,any
S100A8,TP53,any
>PDCD11,5.353458579427686
PDCD11,S100A8,any
RB1,SKP2,any
S100A8,TP53,any
TP53,RB1,any
>PDCD11,5.301531417828798
TP53,BCL2L1,any
PDCD11,S100A8,any
S100A8,TP53,any
>CDH1,5.700539117764221
CTTN,CDH1,any
EGFR,TP53,any
CDH1,EGFR,any
>CDH1,5.347404363351947
CTTN,CDH1,any
EXOC3,EXOC2,any
CDH1,EXOC3,any
>CDH1,5.408157376138199
CTTN,CDH1,any
CDH1,PIK3CA,any
PIK3CA,PTEN,any
>CDH1,5.30226398233886
CTTN,CDH1,any
CDH1,EXOC3,any
CTTN,FER,any
>CDH1,5.768726897036126
TP53,SKP2,any
EGFR,TP53,any
CDH1,EGFR,any
>GRB2,5.846167228845209
PEX13,GRB2,any
GRB2,EGFR,any
EGFR,TP53,any
>GRB2,5.55818996802341
GRB2,EGFR,any
EGFR,TP53,any
ERRFI1,GRB2,any
>GRB2,5.452321301479965
TNPO1,GRB2,any
GRB2,EGFR,any
EGFR,TP53,any
>GRB2,5.479635063162112
TP53,BCL2L1,any
PIK3R1,GRB2,any
BCL2L1,PIK3R1,any
>GRB2,5.582943610369822
TSC2,RICTOR,any
TSC2,GRB2,any
TSC2,TP53,any
>MADD,5.532074244254288
MADD,FADD,any
MADD,BID,any
BID,TP53,any
>MADD,5.090874640204634
MAP4K4,TP53,any
MADD,FADD,any
TP53,SKP2,any
MADD,MAP4K4,any
>MADD,5.079534264249657
CTSD,TP53,any
MADD,FADD,any
MADD,CTSD,any
>MADD,5.11015139186238
MADD,FADD,any
FADD,BID,any
BID,TP53,any
TP53,RB1,any
>MADD,5.006264537842148
TP53,PTEN,any
BID,MADD,any
BID,TP53,any
>ELF1,5.441291912861297
ELF1,RB1,any
RB1,CCNE1,any
RB1,TP53,any
>ELF1,5.613352082862759
RB1,ELF1,any
SKP2,TP53,any
SKP2,RB1,any
RB1,CCNE1,any
>ELF1,5.744419448467125
TFDP1,TP53,any
TP53,SKP2,any
ELF1,TFDP1,any
>ELF1,5.81083719633428
ELF1,RB1,any
RB1,SKP2,any
RB1,TP53,any
>ELF1,5.541405290304835
RB1,ELF1,any
SKP2,TP53,any
RB1,SKP2,any
SKP2,FOXM1,any
>PLK3,6.365520010516842
TRIP13,PLK3,any
