>UFD1L,5.681729509670459
UFD1L,PIK3CA,any
PIK3CA,BCL2L1,any
PIK3CA,PIK3R1,any
>RELA,6.061030692984991
RELA,PIK3R1,any
RELA,MYC,any
RELA,PIK3CA,any
>RELA,5.681729509670459
BCL2L1,PIK3R1,any
BCL2L1,PIK3CA,any
PIK3CA,RELA,any
>RELA,5.422508437487636
RELA,PIK3R1,any
RELA,MYC,any
RELA,PIK3CA,any
TRAF2,RELA,any
>RELA,6.040627796221835
TP53,PTEN,any
MYC,TP53,any
RELA,MYC,any
>RELA,5.5922517630512845
PIK3R1,BCL2L1,any
RELA,PIK3R1,any
RELA,MYC,any
RELA,PIK3CA,any
>AKT1,6.026757947967323
AKT1,PIK3CA,any
AKT1,PIK3R1,any
PIK3CA,BCL2L1,any
>AKT1,6.144751581627289
TP53,PTEN,any
MCL1,AKT1,any
MCL1,TP53,any
>AKT1,6.29318501356123
AKT1,PIK3R1,any
AKT1,MYC,any
PIK3R1,PIK3CA,any
>AKT1,5.965922565482976
PTEN,PIK3CA,any
PIK3CA,AKT1,any
AKT1,MYC,any
>AKT1,6.213441622117632
MCL1,AKT1,any
AKT1,PIK3CA,any
PIK3CA,PIK3R1,any
>DDX5,5.648698680956702
BCL2L1,PIK3R1,any
DDX5,PIK3CA,any
PIK3CA,BCL2L1,any
>DDX5,5.625871848109022
TP53,MYC,any
DDX5,PIK3CA,any
DDX5,TP53,any
>DDX5,5.734931563205549
TP53,PTEN,any
RNF4,TP53,any
TP53,DDX5,any
>DDX5,6.126307098128679
TP53,PTEN,any
TNFRSF10B,TP53,any
TP53,DDX5,any
>DDX5,5.729748660154907
TP53,PTEN,any
TP53,DDX5,any
RAB4A,TP53,any
>EPB41L1,5.351041788753427
EPB41L1,PIK3R1,any
PIK3CA,IRS2,any
EPB41L1,PIK3CA,any
>EPB41L1,5.755896718779628
PIK3R1,EPB41L1,any
ERBB2,PIK3R1,any
EPB41L1,PIK3CA,any
>EPB41L1,5.923204557374049
PIK3R1,EPB41L1,any
PIK3CA,BCL2L1,any
PIK3CA,PIK3R1,any
>EPB41L1,5.629802362973464
EPB41L1,PIK3R1,any
EPB41L1,PIK3CA,any
PIK3R1,ERBB3,any
>EPB41L1,5.399125731299382
PIK3CA,PTEN,any
PIK3CA,BCL2L1,any
EPB41L1,PIK3CA,any
>ESR1,6.270727098996806
ESR1,PIK3CA,any
ESR1,PIK3R1,any
ESR1,MYC,any
>ESR1,5.881168675923726
MYC,TP53,any
ESR1,PIK3CA,any
ESR1,MYC,any
>ESR1,5.836318407654695
ESR1,PIK3CA,any
MYC,CTNNB1,any
ESR1,MYC,any
>ESR1,5.891808009204485
BCL2L1,PIK3R1,any
PIK3R1,ESR1,any
BCL2L1,PIK3CA,any
>ESR1,5.8096260168105065
MYC,ERBB2,any
ESR1,PIK3CA,any
ESR1,MYC,any
>SRC,5.267222155419275
SRC,CTNNB1,any
CTNNB1,DNM2,any
SRC,PIK3CA,any
>SRC,5.388367245444309
ERBB3,SRC,any
SRC,PIK3CA,any
ERBB3,PIK3R1,any
>SRC,5.283113640940608
SRC,PIK3CA,any
DOK6,SRC,any
SRC,PIK3R1,any
>SRC,5.681729509670459
BCL2L1,PIK3R1,any
BCL2L1,PIK3CA,any
PIK3CA,SRC,any
>SRC,5.514543174321313
SRC,PIK3CA,any
ERBB2,PIK3R1,any
PIK3R1,SRC,any
>TNFRSF10B,6.996260199853065
TP53,PTEN,any
TP53,MYC,any
TNFRSF10B,TP53,any
>TNFRSF10B,6.243846655213474
TP53,PTEN,any
PTEN,PIK3R1,any
TNFRSF10B,TP53,any
>TNFRSF10B,6.231585159997796
DYRK2,TP53,any
TP53,PTEN,any
TP53,TNFRSF10B,any
>TNFRSF10B,6.2536960712619845
TP53,PTEN,any
PTEN,PIK3CA,any
TNFRSF10B,TP53,any
>TNFRSF10B,6.491685010201931
PTEN,TP53,any
TP53,TNFRSF10B,any
