>BTG2,1.6485281374238567
ZHX1,TP53,any
IDH1,ZHX1,any
BTG2,CNOT7,any
TP53,BTG2,any
>BTG2,1.480221110428732
CARM1,CEBPA,any
ARL3,TP53,any
TP53,CARM1,any
TP53,BTG2,any
>BTG2,1.5590169943749475
BCL2L1,TP53,any
PDIA4,BCL2L1,any
TP53,BTG2,any
>BTG2,1.6123724356957945
PPP1CA,TP53,any
TP53,BTG2,any
NOM1,PPP1CA,any
>BTG2,2.060660171779821
ZHX1,TP53,any
IDH1,ZHX1,any
TP53,BTG2,any
>UBE2D2,1.875538594611737
OTUB1,UBE2D2,any
CDKN1A,OTUB1,any
DNMT3A,CDKN1A,any
TCL1A,DNMT3A,any
>UBE2D2,1.5953353488403288
RNF4,UBE2H,any
UBE2D2,RNF4,any
RNF4,TP53,any
>UBE2D2,1.6087909060863488
NRAS,EEF1A1,any
NRAS,PLCE1,any
RNF10,UBE2D2,any
EEF1A1,RNF10,any
>UBE2D2,1.7833750602588103
ZHX1,TP53,any
IDH1,ZHX1,any
ARIH2,UBE2D2,any
TP53,ARIH2,any
>UBE2D2,1.510988632607936
RNF111,SMURF2,any
RNF111,UBE2D2,any
SMURF2,NRAS,any
>DST,1.7071067811865475
GIGYF2,APC,any
APC,TP53,any
APC,DST,any
>DST,1.9501768105405446
APC,TP53,any
SMC3,APC,any
APC,DST,any
>DST,1.668483358529721
DNMT3A,MYC,any
MYC,PAK2,any
PAK2,DST,any
TCL1A,DNMT3A,any
>DST,2.085604198162151
DST,PAK2,any
PAK2,MAX,any
MAX,DNMT3A,any
>DST,1.6359289248250384
PDGFRB,PTPN11,any
PDGFRB,NFYC,any
NFYC,DST,any
NFYC,TP53,any
>PPP1CA,2.060660171779821
ZHX1,TP53,any
IDH1,ZHX1,any
TP53,PPP1CA,any
>PPP1CA,1.8466234199472709
PPP1CA,TP53,any
TP53,EGFR,any
NOM1,PPP1CA,any
>PPP1CA,1.850276388035915
TP53,PPP1CA,any
RB1,TP53,any
CEBPA,RB1,any
>PPP1CA,2.119462397434997
TP53,MYC,any
MYC,DNMT3A,any
TP53,PPP1CA,any
MYC,ACTL6A,any
>PPP1CA,2.0838736220340337
ZHX1,IDH1,any
TP53,ZHX1,any
PPP1CA,TP53,any
NOM1,PPP1CA,any
>DCTN4,2.3444232432646714
CALCOCO2,TCL1A,any
DCTN4,CALCOCO2,any
TCL1A,DNMT3A,any
>DCTN4,1.875538594611737
TCL1A,CALCOCO2,any
CALCOCO2,DCTN4,any
CALCOCO2,LENG1,any
TCL1A,DNMT3A,any
>DCTN4,2.054682222037445
TCL1A,CADPS,any
TCL1A,CALCOCO2,any
CALCOCO2,DCTN4,any
TCL1A,DNMT3A,any
>DCTN4,2.068302823765658
DCTN4,MTUS2,any
DCTN4,GOLGA2,any
TCL1A,DNMT3A,any
GOLGA2,TCL1A,any
>DCTN4,1.6848341015617596
ZFC3H1,HNRNPK,any
HNRNPK,U2AF1,any
DCTN4,MTUS2,any
MTUS2,ZFC3H1,any
>SMAD4,2.119462397434997
DNMT3A,CDKN1A,any
CDKN1A,TP53,any
DNMT3A,GFI1,any
CDKN1A,SMAD4,any
>SMAD4,2.1650635094610964
ZBTB17,DNMT3A,any
ZBTB17,SMAD4,any
DIS3,ZBTB17,any
>SMAD4,2.2910678019438246
UBE2H,ZBTB17,any
ZBTB17,DNMT3A,any
ZBTB17,SMAD4,any
>SMAD4,2.393488635335025
ZBTB17,HDAC3,any
DNMT3A,ZBTB17,any
ZBTB17,SMAD4,any
>SMAD4,2.085604198162151
DNMT3A,CDKN1A,any
CDKN1A,SMAD4,any
CDKN1A,INPP5K,any
>BCOR,1.7071067811865475
USP7,TP53,any
BCOR,USP7,any
USP7,HECW1,any
>BCOR,1.578404875209022
TCL1A,CALCOCO2,any
CALCOCO2,NAA10,any
TCL1A,DNMT3A,any
NAA10,BCOR,any
>BCOR,1.5878043748447501
TP53,EGFR,any
BCL6,TP53,any
BCOR,BCL6,any
>BCOR,1.3685446089526951
GATA2,HDAC3,any
GATA2,HDAC5,any
HDAC5,BCOR,any
>BCOR,1.9313708498984758
ZHX1,TP53,any
IDH1,ZHX1,any
TP53,BCL6,any
BCL6,BCOR,any
>FAM13B,1.60129318833735
SMC3,DISC1,any
DISC1,YWHAE,any
YWHAE,FAM13B,any
>FAM13B,1.351884288456962
FAM13B,YWHAE,any
YWHAE,AKT1,any
YWHAE,YWHAQ,any
AKT1,PTPN11,any
>FAM13B,1.64696214175775
ARAF,KRAS,any
FAM13B,YWHAE,any
YWHAE,ARAF,any
>FAM13B,1.3955910525085282
FAM13B,YWHAE,any
SORT1,TP53,any
YWHAE,SORT1,any
>FAM13B,1.6898553605712026
YWHAE,FAM13B,any
YWHAE,AKT1,any
AKT1,PTPN11,any
>NF1,1.6736728970494041
NF1,SDC2,any
SDC2,PTPN11,any
NF1,GADD45A,any
GADD45A,TP53,any
>NF1,1.8363019699779288
INS,NR3C1,any
INS,PTPN11,any
NF1,INS,any
>NF1,1.8008077951277173
BRCA1,E2F4,any
E2F4,CEBPA,any
BRCA1,TP53,any
NF1,BRCA1,any
>NF1,1.8328542415550597
CDKN1A,DNMT3A,any
DNMT3A,TCL1A,any
ALAS1,CDKN1A,any
NF1,ALAS1,any
>NF1,2.016123775561495
NF1,SDC2,any
SDC2,PTPN11,any
PTPN11,KIT,any
>PFDN1,1.875538594611737
