Gene	APC	TP53	CTNNB1	NAV3	SMAD4	KRT23	PIK3CA	ANKRD17	NEB	NUPL2	GIGYF2	GRB2	EGFR	KRT14	MYC	VCAN	NCKAP5L	NUP98	RAC1	ERBB2
Rank	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0
GeneName	APC	TP53	CTNNB1	NAV3	SMAD4	KRT23	PIK3CA	ANKRD17	NEB	NUPL2	GIGYF2	GRB2	EGFR	KRT14	MYC	VCAN	NCKAP5L	NUP98	RAC1	ERBB2
TCGA-CK-6747-01	1						1		1											
TCGA-AA-3502-01	1						1						1							1
TCGA-AZ-4682-01	1						1							1				1		
TCGA-DM-A0X9-01	1						1									1			1	
TCGA-DM-A28G-01	1						1										1			
TCGA-AH-6644-01	1						1													1
TCGA-A6-5657-01	1						1													
TCGA-AA-A03F-01	1						1													
TCGA-AA-A01V-01	1						1													
TCGA-AA-3489-01	1						1													
TCGA-AD-6890-01	1						1													
TCGA-AA-3812-01	1						1													
TCGA-AA-A01I-01	1						1													
TCGA-CM-6678-01	1						1													
TCGA-AA-3939-01	1						1													
TCGA-AA-3837-01	1						1													
TCGA-DM-A28C-01	1						1													
TCGA-AA-3818-01	1						1													
TCGA-A6-3808-01	1						1													
TCGA-AG-3878-01	1						1													
TCGA-AA-3852-01	1						1													
TCGA-CK-6748-01	1							1					1							
TCGA-AF-5654-01	1							1												
TCGA-AG-A015-01	1							1												
TCGA-CK-6751-01	1								1				1							
TCGA-AA-3952-01	1								1											
TCGA-AG-3883-01	1										1					1				1
TCGA-CA-5254-01	1														1					1
TCGA-AA-3872-01	1														1					1
TCGA-5M-AATA-01	1														1					
TCGA-G5-6641-01	1														1					
TCGA-A6-2677-01	1														1					
TCGA-AA-3695-01	1															1				
TCGA-AA-3994-01	1																			1
TCGA-AG-3599-01	1																			1
TCGA-AA-A029-01	1																			
TCGA-AA-3544-01	1																			
TCGA-AA-A00A-01	1																			
TCGA-AD-6964-01	1																			
TCGA-AA-3855-01	1																			
TCGA-AA-3678-01	1																			
TCGA-AA-3521-01	1																			
TCGA-AA-3986-01	1																			
TCGA-AG-3584-01	1																			
TCGA-AG-3580-01	1																			
TCGA-AA-3554-01	1																			
TCGA-AA-3538-01	1																			
TCGA-AG-3583-01	1																			
TCGA-AF-2692-01	1																			
TCGA-AA-3854-01	1																			
TCGA-AG-3593-01	1																			
TCGA-DY-A1H8-01	1																			
TCGA-AA-A024-01	1																			
TCGA-AZ-6599-01	1																			
TCGA-AA-3846-01	1																			
TCGA-AA-3688-01	1																			
TCGA-AA-3548-01	1																			
TCGA-AA-A00Z-01	1																			
TCGA-AA-3527-01	1																			
TCGA-AA-A00Q-01	1																			
TCGA-CA-6715-01	1																			
TCGA-AG-3894-01	1																			
TCGA-AA-3684-01	1																			
TCGA-D5-5537-01	1																			
TCGA-DM-A282-01	1																			
TCGA-AA-3680-01	1																			
TCGA-AG-3727-01	1																			
TCGA-AA-A017-01	1																			
TCGA-AA-3532-01	1																			
TCGA-AA-3562-01	1																			
TCGA-AG-A02G-01	1																			
TCGA-AG-A025-01	1																			
TCGA-AA-3989-01	1																			
